0,17048614,Khushal K Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta,5099,Black,Khushal K,http://assets.myntassets.com/assets/images/17048614/2022/2/4/b0eb9426-adf2-4802-a6b3-5dbacbc5f2511643971561167KhushalKWomenBlackEthnicMotifsAngrakhaBeadsandStonesKurtawit7.jpg,4522,4.418398939,"Black printed Kurta with Palazzos with dupatta <br> <br> <b> Kurta design:  </b> <ul> <li> Ethnic motifs printed </li> <li> Anarkali shape </li> <li> Regular style </li> <li> Mandarin collar,  three-quarter regular sleeves </li> <li> Calf length with flared hem </li> <li> Viscose rayon machine weave fabric </li> </ul> <br> <b> Palazzos design:  </b> <ul> <li> Printed Palazzos </li> <li> Elasticated waistband </li> <li> Slip-on closure </li> </ul>Dupatta Length 2.43 meters Width:&nbsp;88 cm<br>The model (height 5'8) is wearing a size S100% Rayon<br>Machine wash","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Viscose Rayon', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Palazzos', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Solid', 'Dupatta Fabric': 'Viscose Rayon', 'Dupatta Pattern': 'Printed', 'Main Trend': 'Indie Prints', 'Neck': 'Mandarin Collar', 'Number of Pockets': 'NA', 'Occasion': 'Festive', 'Ornamentation': 'NA', 'Pattern Coverage': 'Placement', 'Print or Pattern Type': 'Ethnic Motifs', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'NA', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'Screen', 'Top Design Styling': 'Regular', 'Top Fabric': 'Viscose Rayon', 'Top Hemline': 'Flared', 'Top Length': 'Calf Length', 'Top Pattern': 'Printed', 'Top Shape': 'Anarkali', 'Top Type': 'Kurta', 'Waistband': 'Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
1,16524740,InWeave Women Orange Solid Kurta with Palazzos & Floral Print Dupatta,5899,Orange,InWeave,http://assets.myntassets.com/assets/images/16524740/2021/12/29/17ab2ac8-2e60-422d-9d20-2527415932361640754214931-STRAPPY-SET-IN-ORANGE-WITH-ORGANZA-DUPATTA-5961640754214349-2.jpg,1081,4.11933395,"Orange solid Kurta with Palazzos with dupatta<br><br><b>Kurta design: </b><ul><li>Solid</li><li>A-line shape</li><li>Regular style</li><li>Square neck, sleeveless shoulder straps</li><li>Calf length with straight hem</li><li>Viscose rayon machine weave fabric</li></ul><br><b>Palazzos design: </b><ul><li>Solid Palazzos</li><li>Elasticated waistband</li><li>Zip closure</li></ul><b>Dupatta Design:</b><ul><li>Floral Printed</li></ul>Kurta Fabric: Viscose rayon<br>Bottom Fabric:&nbsp;Viscose rayon<br>Dupatta Fabric: Organza<br>Hand washThe model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Zip', 'Bottom Fabric': 'Viscose Rayon', 'Bottom Pattern': 'Solid', 'Bottom Type': 'Palazzos', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Printed', 'Dupatta Fabric': 'Organza', 'Dupatta Pattern': 'Printed', 'Main Trend': 'NA', 'Neck': 'Square Neck', 'Number of Pockets': 'NA', 'Occasion': 'Fusion', 'Ornamentation': 'NA', 'Pattern Coverage': 'None', 'Print or Pattern Type': 'Solid', 'Sleeve Length': 'Sleeveless', 'Sleeve Styling': 'Shoulder Straps', 'Slit Detail': 'NA', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Regular', 'Top Fabric': 'Viscose Rayon', 'Top Hemline': 'Flared', 'Top Length': 'Calf Length', 'Top Pattern': 'Solid', 'Top Shape': 'A-Line', 'Top Type': 'Kurta', 'Waistband': 'Elasticated', 'Wash Care': 'Hand Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
2,16331376,Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta with Trousers & With Dupatta,4899,Navy Blue,Anubhutee,http://assets.myntassets.com/assets/images/16331376/2021/12/2/b8c4f90f-683c-48d2-b8ac-19891a87c0651638428628378KurtaSets1.jpg,1752,4.16152968,"Navy blue embroidered Kurta with Trousers with dupatta <br> <br> <b> Kurta design:  </b> <ul> <li> Ethnic motifs embroidered </li> <li> A-line shape </li> <li> Regular style </li> <li> Round neck,  three-quarter no sleeves </li> <li> Thread work detail </li> <li> Above knee length with flared hem </li> <li> Viscose rayon machine weave fabric </li> </ul> <br> <b> Trousers design:  </b> <ul> <li> Printed Trousers </li> <li> Elasticated waistband </li> <li> Slip-on closure </li> </ul>Viscose rayon<br>Hand WashThe model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Viscose Rayon', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Trousers', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Tassels', 'Dupatta Fabric': 'Voile', 'Dupatta Pattern': 'Embroidered', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'Thread Work', 'Pattern Coverage': 'Large', 'Print or Pattern Type': 'Ethnic Motifs', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'No Sleeves', 'Slit Detail': 'NA', 'Stitch': 'Ready to Wear', 'Style Tip': '', 'Sustainable': 'Regular', 'Technique': 'Foil', 'Top Design Styling': 'Regular', 'Top Fabric': 'Viscose Rayon', 'Top Hemline': 'Flared', 'Top Length': 'Above Knee', 'Top Pattern': 'Embroidered', 'Top Shape': 'A-Line', 'Top Type': 'Kurta', 'Waistband': 'Elasticated', 'Wash Care': 'Hand Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
3,14709966,Nayo Women Red Floral Printed Kurta With Trouser & Dupatta,3699,Red,Nayo,http://assets.myntassets.com/assets/images/14709966/2021/7/10/d2407657-1f04-4d13-9f52-9e134050489b1625905793495-Nayo-Women-Red-Ethnic-Motifs-Printed-Empire-Pure-Cotton-Kurt-1.jpg,4113,4.088986142,Red printed kurta with trouser and dupatta<br><b>Kurta design:</b><ul><li>Printed kurta</li><li>Anarkali design</li><li>Round neck</li><li>Three-quarter sleeves</li><li>Flared hem</li><li>Calf length</li></ul><b>Trouser design:</b><ul><li>Printed trousers</li><li>Elasticated waistband</li><li>Slip-on closure</li></ul><b>Dupatta design:</b><ul><li>White and red printed dupatta</li></ul>Top fabric:  Pure Cotton <br> Bottom fabric:  Pure Cotton <br> Dupatta fabric:  Cotton Blend <br> Hand washDupatta length: 2 metres (approx.) <br> The model (height 5'8) is wearing a size S,"{'Add-Ons': 'NA', 'Body Shape ID': '333,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Pure Cotton', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Trousers', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Printed', 'Dupatta Fabric': 'Cotton Blend', 'Dupatta Pattern': 'Printed', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'NA', 'Pattern Coverage': 'Large', 'Print or Pattern Type': 'Ethnic Motifs', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Front Slit', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Empire', 'Top Fabric': 'Pure Cotton', 'Top Hemline': 'Flared', 'Top Length': 'Calf Length', 'Top Pattern': 'Printed', 'Top Shape': 'Anarkali', 'Top Type': 'Kurta', 'Waistband': 'Elasticated', 'Wash Care': 'Hand Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
4,11056154,AHIKA Women Black & Green Printed Straight Kurta,1350,Black,AHIKA,http://assets.myntassets.com/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg,21274,3.978377362,"Black and green printed straight kurta, has a nitched round neck, three-quarter sleeves, straight hem, side slitsMaterial: Cotton<br> Machine WashThe model (height 5'8"") is wearing a size S","{'Body Shape ID': '424', 'Body or Garment Size': 'Garment Measurements in', 'Colour Family': 'Monochrome', 'Design Styling': 'Regular', 'Fabric': 'Cotton', 'Fabric 2': 'NA', 'Fabric Purity': 'Pure', 'Hemline': 'Straight', 'Length': 'Calf Length', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Occasion': 'Daily', 'Ornamentation': 'NA', 'Pattern': 'Printed', 'Print or Pattern Type': 'Ethnic Motifs', 'Shape': 'Straight', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Side Slits', 'Stitch': 'Ready to Wear', 'Technique': 'NA', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
5,18704418,Soch Women Red Thread Work Georgette Anarkali Kurta,3498,Red,Soch,http://assets.myntassets.com/assets/images/18704418/2022/6/11/507490f7-c8f9-492c-b3f8-c7e977d1af701654922515416SochWomenRedThreadWorkGeorgetteAnarkaliKurta1.jpg,,,"<ul> <li> Colour: red </li> <li> Solid woven design </li> <li> Mandarin collar </li> <li> Long,  regular sleeves </li> <li> Anarkali shape with pleated style </li> <li> Thread work detail </li> <li> Ankle length with flared hem </li> <li> Machine weave regular georgette </li> </ul><br> The model (height 5'8) is wearing a size S<p>Georgette</p>","{'Body Shape ID': '333,324,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Care for me': 'NA', 'Colour Family': 'Earthy', 'Design Styling': 'Pleated', 'Fabric': 'Georgette', 'Fabric 2': 'NA', 'Fabric Purity': 'Pure', 'Hemline': 'Flared', 'Length': 'Ankle Length', 'Main Trend': 'NA', 'Neck': 'Mandarin Collar', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'Thread Work', 'Pattern': 'Woven Design', 'Print or Pattern Type': 'Solid', 'Shape': 'Anarkali', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Front Slit', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Wash Care': 'Hand Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
6,14046594,Libas Women Navy Blue Pure Cotton Floral Print Kurta with Palazzos & Dupatta,3599,Navy Blue,Libas,http://assets.myntassets.com/assets/images/14046594/2022/6/9/5fba9594-3301-4881-ba56-d56a44570e831654747998773LibasWomenNavyBluePureCottonFloralPrintKurtawithPalazzosDupa1.jpg,8695,4.435652674,"Stately and versatile, this kurta set will be your top choice. Its eye-catching printed kurta comes with snug printed palazzos and a gorgeous printed dupatta for added appeal. <br><br><b>Kurta design: </b><ul><li>Floral printed</li><li>Anarkali shape</li><li>Pleated style</li><li>Keyhole neck, three-quarter regular sleeves</li><li>Gotta patti detail</li><li>Calf length with flared hem</li><li>Pure cotton machine weave fabric</li></ul><b>Palazzos design: </b><ul><li>Printed Palazzos</li><li>Partially elasticated waistband</li><li>Slip-on closure</li><li>2 pockets</li></ul><b>Dupatta Design</b><br>Printed dupatta<br>Top fabric:  Pure Cotton <br> Bottom fabric:  Pure Cotton <br> Dupatta fabric:  Pure Cotton <br> Machine washThe model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Pure Cotton', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Palazzos', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'NA', 'Dupatta Fabric': 'Pure Cotton', 'Dupatta Pattern': 'Printed', 'Main Trend': 'Floral', 'Neck': 'Keyhole Neck', 'Number of Pockets': '2', 'Occasion': 'Fusion', 'Ornamentation': 'Gotta Patti', 'Pattern Coverage': 'Large', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'NA', 'Stitch': 'Ready to Wear', 'Style Tip': 'Mod Indo-Western danglers, a pair of sparkly mojris, and an elaborate choker neckpiece.', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Pleated', 'Top Fabric': 'Pure Cotton', 'Top Hemline': 'Flared', 'Top Length': 'Calf Length', 'Top Pattern': 'Printed', 'Top Shape': 'Anarkali', 'Top Type': 'Kurta', 'Waistband': 'Partially Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave', 'Where-to-wear': ""Enjoy your sister's housewarming""}"
7,14951330,Ahalyaa Women Beige Floral Printed Regular Gotta Patti Kurta with Palazzos & With Dupatta,6000,Beige,Ahalyaa,http://assets.myntassets.com/assets/images/14951330/2022/2/16/e6b90907-a613-45e1-9b2e-988caaba36581645010770505-Ahalyaa-Women-Beige-Floral-Printed-Regular-Gotta-Patti-Kurta-1.jpg,1741,3.545089029,"When in doubt, rock this simple yet stylish kurta set at any traditional function. It comes with an elegant printed kurta and snug printed palazzos for comfort.&nbsp;<ul><li>Kurta:</li><li>Classy beige tone</li><li>Attractive round neck</li><li>Long regular sleeves</li><li>Calf length</li><li>Poly crepe, machine wash</li><li>Palazzos:</li><li>Printed palazzos</li><li>Partially elasticated waist</li><li>Poly crepe, machine wash</li><li>Tassels border</li><li>Printed pattern</li><li>Net, machine wash</li></ul><b>Trend Alert</b><br>Symbols of freshness and beauty, romantic florals in vibrant hues and prints have been a mainstay in fashion for decades. Right from delicate all-over patterns to abstract and oversized motifs, romantic florals lend any garment a feminine touch.Top fabric:  Poly Crepe <br> Bottom fabric:  Poly Crepe <br> Dupatta fabric:  Net <br> Machine washThe model (height 5'8) is wearing a size S","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Poly Crepe', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Palazzos', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Tassels', 'Dupatta Fabric': 'Net', 'Dupatta Pattern': 'Printed', 'Main Trend': 'Floral', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Festive', 'Ornamentation': 'Gotta Patti', 'Pattern Coverage': 'Large', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Long Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Side Slits', 'Stitch': 'Ready to Wear', 'Style Tip': 'Long studded danglers, a minaudiere with glimmering stones, and an exquisite open bangle.', 'Sustainable': 'Regular', 'Technique': 'Screen', 'Top Design Styling': 'Regular', 'Top Fabric': 'Poly Crepe', 'Top Hemline': 'Straight', 'Top Length': 'Calf Length', 'Top Pattern': 'Printed', 'Top Shape': 'Straight', 'Top Type': 'Kurta', 'Waistband': 'Partially Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave', 'Wedding': 'Guests & Gifting', 'Where-to-wear': 'Wear to fun destination weddings'}"
8,13791594,Anouk Women Yellow & White Printed Kurta with Palazzos,1999,Yellow,Anouk,http://assets.myntassets.com/assets/images/13791594/2022/2/14/5ea707f4-8491-4d1c-b520-86a1cff4c86e1644841891629-Anouk-Women-Yellow--White-Printed-Kurta-with-Palazzos-706164-1.jpg,7012,4.245864233,"Yellow and white printed kurta with palazzos<br> Yellow and white straight knee length kurta, has a round neck, three-quarter sleeves, side slits<br>Yellow and white Printed palazzos, has partially elasticated waistbandThe model (height 5'8"") is wearing a size STop fabric: Pure Cotton<br>Bottom fabric: Pure Cotton<br>Machine-wash","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'To-Fit Denotes Body Measurements in', 'Bottom Closure': 'NA', 'Bottom Fabric': 'Pure Cotton', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Palazzos', 'Character': 'NA', 'Dupatta': 'NA', 'Dupatta Border': 'NA', 'Dupatta Fabric': 'NA', 'Dupatta Pattern': 'NA', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Occasion': 'Daily', 'Ornamentation': 'NA', 'Pattern Coverage': 'Large', 'Print or Pattern Type': 'Floral', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'Side Slits', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Regular', 'Top Fabric': 'Pure Cotton', 'Top Hemline': 'Straight', 'Top Length': 'Knee Length', 'Top Pattern': 'Printed', 'Top Shape': 'Straight', 'Top Type': 'Kurta', 'Waistband': 'Partially Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave'}"
9,17048604,Khushal K Women Green & Pink Printed Pure Cotton Kurta with Palazzos & Dupatta,5299,Green,Khushal K,http://assets.myntassets.com/assets/images/17048604/2022/2/4/11b842c5-d9d4-4fee-baa2-0972e3a673641643970773675KhushalKWomenGreenEthnicMotifsPrintedEmpireGottaPattiPureCot7.jpg,1590,4.266037736,"Green &amp; pink printed kurta with palazzos &amp; dupatta<br><br><b>Kurta design: </b><ul><li>Ethnic motifs printed</li><li>A-line shape</li><li>Regular&nbsp; style</li><li>Round neck, three-quarter regular sleeves</li><li>Gotta patti detail</li><li>Calf length with flared hem</li><li>Pure cotton machine weave fabric</li></ul><br><b>Palazzos design: </b><ul><li>Printed Palazzos</li><li>Elasticated waistband</li><li>Slip-on closure</li><li>Comes with pink solid dupatta</li></ul>Dupatta: 2.4 x 0.8 meters<br>The model (height 5'8) is wearing a size STop: 100% Cotton<br>Bottom: 100% Cotton<br>Dupatta: Silk Chiffon<br>Machine wash","{'Add-Ons': 'NA', 'Body Shape ID': '443,333,324,424', 'Body or Garment Size': 'Garment Measurements in', 'Bottom Closure': 'Slip-On', 'Bottom Fabric': 'Pure Cotton', 'Bottom Pattern': 'Printed', 'Bottom Type': 'Palazzos', 'Character': 'NA', 'Dupatta': 'With Dupatta', 'Dupatta Border': 'Taping', 'Dupatta Fabric': 'Silk Chiffon', 'Dupatta Pattern': 'Solid', 'Main Trend': 'NA', 'Neck': 'Round Neck', 'Number of Pockets': 'NA', 'Occasion': 'Daily', 'Ornamentation': 'Gotta Patti', 'Pattern Coverage': 'Large', 'Print or Pattern Type': 'Ethnic Motifs', 'Sleeve Length': 'Three-Quarter Sleeves', 'Sleeve Styling': 'Regular Sleeves', 'Slit Detail': 'NA', 'Stitch': 'Ready to Wear', 'Sustainable': 'Regular', 'Technique': 'NA', 'Top Design Styling': 'Regular', 'Top Fabric': 'Pure Cotton', 'Top Hemline': 'Flared', 'Top Length': 'Calf Length', 'Top Pattern': 'Printed', 'Top Shape': 'A-Line', 'Top Type': 'Kurta', 'Waistband': 'Elasticated', 'Wash Care': 'Machine Wash', 'Weave Pattern': 'Regular', 'Weave Type': 'Machine Weave', 'Wedding': 'Guests & Gifting'}"
